title,author,published_in
Things Fall Apart,Chinua Achebe,1958
The Prophet,Khalil Gibran,1923
The Exorcist,William Peter Blatty,1971
The Gruffalo,Julia Donaldson,1999
Catch-22,Joseph Heller,1961
L'Étranger (The Stranger (novel)),Albert Camus,1942
Eye of the Needle,Ken Follett,1978
A Brief History of Time,Stephen Hawking,1988
The Cat in the Hat,Dr. Seuss,1957
The Lovely Bones,Alice Sebold,2002
Wild Swans,Jung Chang,1992
Santa Evita,Tomás Eloy Martínez,1995
Un di Velt Hot Geshvign (Night),Elie Wiesel,1958
The Kite Runner,Khaled Hosseini,2003
于丹《论语》心得 (Confucius from the Heart),Yu Dan,2006
The Total Woman,Marabel Morgan,1974
知価革命 (Knowledge-value Revolution),Taichi Sakaiya,1985
中国社会主义经济问题研究 (Problems in China's Socialist Economy),Xue Muqiao,1979
What Color is Your Parachute?,Richard Nelson Bolles,1970
The Dukan Diet,Pierre Dukan,2000
The Joy of Sex,Alex Comfort,1972
The Gospel According to Peanuts,Robert L. Short,1965
Life of Pi,Yann Martel,2001
The Giver,Lois Lowry,1993
The Front Runner,Patricia Nell Warren,1974
